step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
1,0.18384665250778198,0.004000000189989805,7.627088962181006e-06,0.053690552711486816,0.019999980926513672,0.019999980926513672,0.004000000189989805,0.019999980926513672,0.003998865839093924,0.0,0.05,0.05703489999996236,True
2,0.17650650441646576,0.00800000037997961,0.0010491348803043365,0.015981614589691162,0.015981614589691162,0.015981614589691162,0.004000000189989805,0.025828182697296143,0.007245372049510479,0.0,0.05,0.05318344000079378,True
3,0.20116204023361206,0.012000000104308128,0.002870420925319195,0.003484070301055908,0.003484070301055908,0.003484070301055908,0.0040000006556510925,0.01946568489074707,0.009223181754350662,0.0,0.05,0.058616062999135465,True
4,0.2661140263080597,0.015000000596046448,0.0037286863662302494,0.006169259548187256,0.006169259548187256,0.006169259548187256,0.003999948501586914,0.009653329849243164,0.011271819472312927,0.0,0.05,0.06305073000021366,True
5,0.3186643719673157,0.014999999664723873,0.004349657334387302,0.018426120281219482,0.018426120281219482,0.018426120281219482,0.00400000112131238,0.012256860733032227,0.010650621727108955,0.0,0.05,0.05990225500045199,True
6,0.3559601306915283,0.014999998733401299,0.004040837287902832,0.004409372806549072,0.004409372806549072,0.004409372806549072,0.004000000189989805,0.022835493087768555,0.010959386825561523,0.0,0.05,0.05546785699971224,True
7,0.3519193232059479,0.015000000596046448,0.003551483154296875,0.0,0.0,0.0,0.003999999724328518,0.004409372806549072,0.011448672041296959,0.0,0.05,0.05577102700044634,True
8,0.34836798906326294,0.014999998733401299,0.0037326309829950333,0.0,0.0,0.0,0.0040000006556510925,0.0,0.011466741561889648,0.0,0.05,0.055505303000245476,True
9,0.34463536739349365,0.014999998733401299,0.0042487382888793945,0.0,0.0,0.0,0.003999948501586914,0.0,0.011192560195922852,0.0,0.05,0.05923089299994899,True
10,0.3408278226852417,0.015000000596046448,0.003547818399965763,0.0,0.0,0.0,0.003999948501586914,0.0,0.011806130409240723,0.0,0.05,0.052040000999113545,True
11,0.3376339077949524,0.015000000596046448,0.0035941600799560547,0.0,0.0,0.0,0.003999948501586914,0.0,0.0114060640335083,0.0,0.05,0.05566351300058159,True
12,0.3340398669242859,0.015000000596046448,0.003288865089416504,0.0,0.0,0.0,0.0031576640903949738,0.0,0.011711262166500092,0.0,0.05,0.05170515999998315,True
