step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
17,0.12389779090881348,0.015000000596046448,0.0022034430876374245,0.0,0.0,0.0,0.0023435354232788086,0.0,0.012882232666015625,0.0,0.04,0.03581875201780349,False
18,0.1217799186706543,0.015000000596046448,0.0026751356199383736,0.0,0.0,0.0,0.001966238021850586,0.0,0.012355685234069824,0.0,0.04,0.04000000806991011,True
19,0.11913561820983887,0.015000000596046448,0.0025922060012817383,0.0,0.0,0.0,0.0026751356199383736,0.0,0.012408275157213211,0.0,0.04,0.04315274104010314,True
20,0.11654353141784668,0.015000000596046448,0.002315521240234375,0.0,0.0,0.0,0.00243267510086298,0.0,0.012684594839811325,0.0,0.04,0.04021940007805824,True
21,0.1142280101776123,0.015000000596046448,0.0021494440734386444,0.0,0.0,0.0,0.0015813382342457771,0.0,0.012851238250732422,0.0,0.04,0.03579724789597094,False
22,0.11207902431488037,0.014999985694885254,0.0028922036290168762,0.0,0.0,0.0,0.0017471276223659515,0.0,0.012108087539672852,0.0,0.04,0.043507150025106966,True
23,0.10918712615966797,0.014999985694885254,0.0023077726364135742,0.0,0.0,0.0,0.0028922036290168762,0.0,0.01269221305847168,0.0,0.04,0.039833917981013656,False
24,0.1068793535232544,0.014999985694885254,0.0020295381546020508,0.0,0.0,0.0,0.0023077726364135742,0.0,0.012970447540283203,0.0,0.04,0.035544938989914954,False
25,0.10484981536865234,0.014999985694885254,0.0026515722274780273,0.0,0.0,0.0,0.0019463300704956055,0.0,0.012348413467407227,0.0,0.04,0.03973632398992777,False
26,0.10219824314117432,0.014999985694885254,0.0028296709060668945,0.0,0.0,0.0,0.0019019842147827148,0.0,0.01217031478881836,0.0,0.04,0.04792392801027745,True
27,0.066838338971138,0.01100003719329834,0.002690911293029785,0.0015146136283874512,0.0015146136283874512,0.0015146136283874512,0.0040000006556510925,0.0015146136283874512,0.008309125900268555,0.0,0.04,0.04786017595324665,True
28,0.06934995949268341,0.007000088691711426,0.0019769668579101562,0.0037030577659606934,0.0037030577659606934,0.0037030577659606934,0.0040000006556510925,0.0037030577659606934,0.00606083869934082,0.0,0.04,0.03881376993376762,False
29,0.06206829845905304,0.010240316390991211,0.0014382600784301758,0.0037030577659606934,0.0037030577659606934,0.0037030577659606934,0.0040000006556510925,0.007406115531921387,0.008802056312561035,0.0,0.04,0.04305626207496971,True
30,0.04060373827815056,0.013272378593683243,0.0016993284225463867,0.002786874771118164,0.002786874771118164,0.002786874771118164,0.0040000006556510925,0.006489932537078857,0.011712141335010529,0.0,0.04,0.03573489107657224,False
31,0.044841766357421875,0.014999999664723873,0.002500672824680805,0.002786874771118164,0.002786874771118164,0.002786874771118164,0.0040000006556510925,0.005573749542236328,0.012499326840043068,0.0,0.04,0.03953572909813374,False
32,0.06317245960235596,0.014999985694885254,0.0028382372111082077,0.00027245283126831055,0.00027245283126831055,0.00027245283126831055,0.0040000006556510925,0.002786874771118164,0.013079643249511719,0.0,0.04,0.039069772930815816,False
33,0.06125211715698242,0.014999985694885254,0.0026978254318237305,0.0,0.0,0.0,0.0040000006556510925,0.00027245283126831055,0.012302160263061523,0.0,0.04,0.03953905892558396,False
34,0.05855429172515869,0.014999985694885254,0.0033082962036132812,0.0,0.0,0.0,0.0040000006556510925,0.0,0.012172341346740723,0.0,0.04,0.047469040961004794,True
35,0.05524599552154541,0.014999985694885254,0.0031534433364868164,0.0,0.0,0.0,0.0040000006556510925,0.0,0.012344121932983398,0.0,0.04,0.04786719707772136,True
36,0.052590131759643555,0.014999985694885254,0.0029257535934448242,0.0,0.0,0.0,0.0040000006556510925,0.0,0.012209773063659668,0.0,0.04,0.04760669998358935,True
37,0.04979991912841797,0.014999985694885254,0.0027521848678588867,0.0,0.0,0.0,0.004000000189989805,0.0,0.012247800827026367,0.0,0.04,0.043257363024167717,True
38,0.04704773426055908,0.014999985694885254,0.002405524253845215,0.0,0.0,0.0,0.002465486526489258,0.0,0.012594461441040039,0.0,0.04,0.039768018992617726,False
39,0.04464221000671387,0.014999985694885254,0.0021822452545166016,0.0,0.0,0.0,0.0017268285155296326,0.0,0.012817740440368652,0.0,0.04,0.03632080100942403,False
