step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
18,0.7204576134681702,0.015000000596046448,0.004301395267248154,0.32361742854118347,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.039999961853027344,0.011772412806749344,0.0,0.04,0.0550514600004135,True
19,0.7172300219535828,0.015000004321336746,0.004302114248275757,0.3036174476146698,0.019999980926513672,0.019999980926513672,0.003999948501586914,0.0008400678634643555,0.011248331516981125,0.0,0.04,0.06376572500039401,True
20,0.7130967378616333,0.015000000596046448,0.0041973777115345,0.28361746668815613,0.019999980926513672,0.019999980926513672,0.003999948501586914,0.019159913063049316,0.011380791664123535,0.0,0.04,0.06379354899991085,True
21,0.7094348073005676,0.015000000596046448,0.00457918643951416,0.26361748576164246,0.019999980926513672,0.019999980926513672,0.0039539337158203125,0.0,0.010550197213888168,0.0,0.04,0.07135433899975396,True
22,0.7049170732498169,0.015000000596046448,0.004135016351938248,0.24361750483512878,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.0,0.011062979698181152,0.0,0.04,0.06363575399973342,True
23,0.7008837461471558,0.015000000596046448,0.004338741302490234,0.2236175239086151,0.019999980926513672,0.019999980926513672,0.003999948501586914,0.0,0.011016830801963806,0.0,0.04,0.06392950800000108,True
24,0.6969005465507507,0.015000004321336746,0.0042258501052856445,0.20361754298210144,0.019999980926513672,0.019999980926513672,0.002418994903564453,0.0,0.010860692709684372,0.0,0.04,0.06364155099981872,True
25,0.13122522830963135,0.015000000596046448,0.0035882890224456787,0.08540374040603638,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.039999961853027344,0.011557936668395996,0.0,0.04,0.05540891400005421,True
26,0.22210323810577393,0.015000000596046448,0.0035363435745239258,0.049264609813690186,0.019999980926513672,0.019999980926513672,0.004000004380941391,0.018783092498779297,0.012402251362800598,0.0,0.04,0.05117910899980416,True
27,0.2529010772705078,0.015000000596046448,0.0034682750701904297,0.007969915866851807,0.007969915866851807,0.007969915866851807,0.0040000006556510925,0.014763712882995605,0.012706652283668518,0.0,0.04,0.052301684000212845,True
28,0.41493722796440125,0.015000000596046448,0.004847437143325806,0.09326028823852539,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.02523624897003174,0.011625170707702637,0.0,0.04,0.059192790999986755,True
29,0.5761083960533142,0.015000000596046448,0.0035990476608276367,0.20917490124702454,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.031221210956573486,0.012211628258228302,0.0,0.04,0.052194820000295294,True
30,0.6865004301071167,0.015000000596046448,0.0038957595825195312,0.28098264336586,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.039000868797302246,0.012825027108192444,0.0,0.04,0.055537630999879184,True
31,0.6831891536712646,0.015000000596046448,0.005269885063171387,0.2609826624393463,0.02000001072883606,0.02000001072883606,0.003999948501586914,0.008721530437469482,0.011117339134216309,0.0,0.04,0.06328354400011449,True
32,0.678876519203186,0.015000000596046448,0.004430495202541351,0.24098265171051025,0.02000001072883606,0.02000001072883606,0.003999948501586914,0.01127845048904419,0.0115598663687706,0.0,0.04,0.06765376300018033,True
33,0.6750816106796265,0.015000000596046448,0.004386797547340393,0.2209826409816742,0.02000001072883606,0.02000001072883606,0.003999948501586914,0.0,0.011214502155780792,0.0,0.04,0.0643043560003207,True
34,0.6711268424987793,0.015000000596046448,0.004429727792739868,0.20098263025283813,0.02000001072883606,0.02000001072883606,0.003999948501586914,0.0,0.010921359062194824,0.0,0.04,0.06310009400021954,True
