step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
1,0.2015291452407837,0.009999999776482582,0.007329106330871582,0.021904826164245605,0.019999980926513672,0.019999980926513672,0.009999999776482582,0.019999980926513672,0.0026710033416748047,0.0,0.2,0.7374666949999664,True
2,0.34038007259368896,0.019999999552965164,0.0006810622289776802,0.02153646945953369,0.02153646945953369,0.02153646945953369,0.009999999776482582,0.01750636100769043,0.01931893825531006,0.0,0.2,0.0470456839993858,False
3,0.437480092048645,0.029999999329447746,0.020830154418945312,0.012910783290863037,0.002327859401702881,0.002327859401702881,0.009999999776482582,0.019999980926513672,0.009169936180114746,0.0,0.2,0.04636535699864908,False
4,0.47618257999420166,0.03999999910593033,0.011045385152101517,0.004848480224609375,0.004848480224609375,0.004848480224609375,0.009999999776482582,0.005376338958740234,0.028954744338989258,0.0,0.2,0.045193378000476514,False
5,0.4859731197357178,0.04999999329447746,0.033646583557128906,0.019830167293548584,0.019830167293548584,0.019830167293548584,0.009999997913837433,0.01599031686782837,0.01773497276008129,0.0,0.2,0.04829906600025424,False
6,0.46548032760620117,0.04999995231628418,0.021106982603669167,0.027266740798950195,0.0002053976058959961,0.0002053976058959961,0.01000000350177288,0.019999980926513672,0.029232025146484375,0.0,0.2,0.04763203199945565,False
7,0.2938295602798462,0.04999999329447746,0.02928149700164795,0.011152923107147217,0.011152923107147217,0.011152923107147217,0.009999997913837433,0.010983109474182129,0.0310714952647686,0.0,0.2,0.044286354999712785,False
8,0.3376721143722534,0.05000000074505806,0.03485596552491188,0.019608020782470703,0.019608020782470703,0.019608020782470703,0.009999990463256836,0.008455097675323486,0.026961922645568848,0.0,0.2,0.0443595960005041,False
9,0.3301832675933838,0.04999999701976776,0.03159832954406738,0.017910897731781006,0.004183530807495117,0.004183530807495117,0.01000000536441803,0.019999980926513672,0.031070098280906677,0.0,0.2,0.047056254999915836,False
10,0.3860653042793274,0.04999999701976776,0.03699135780334473,0.016043543815612793,0.016043543815612793,0.016043543815612793,0.01000000536441803,0.015651583671569824,0.0269472599029541,0.0,0.2,0.042098334999536746,False
11,0.45111870765686035,0.04999999701976776,0.03283536434173584,0.014495253562927246,0.014495253562927246,0.014495253562927246,0.01000000536441803,0.00895833969116211,0.032344087958335876,0.0,0.2,0.041145326000332716,False
12,0.556803822517395,0.04999999701976776,0.03881809115409851,0.035444557666778564,0.005504727363586426,0.005504727363586426,0.01000000536441803,0.019999980926513672,0.027746915817260742,0.0,0.2,0.04382957300003909,False
13,0.23318779468536377,0.04999999701976776,0.02775895595550537,0.01664555072784424,0.01664555072784424,0.01664555072784424,0.01000000536441803,0.011140823364257812,0.03880907595157623,0.0,0.2,0.039901686999655794,False
14,0.26014429330825806,0.04999999701976776,0.04366938769817352,0.008917808532714844,0.008917808532714844,0.008917808532714844,0.01000000536441803,0.0077277421951293945,0.02522408962249756,0.0,0.2,0.04293279000012262,False
15,0.3386419713497162,0.04999998211860657,0.029662251472473145,0.01643836498260498,0.011082172393798828,0.011082172393798828,0.01000000536441803,0.019999980926513672,0.040556877851486206,0.0,0.2,0.04192090600008669,False
16,0.42105868458747864,0.050000011920928955,0.04749491810798645,0.007517039775848389,0.007517039775848389,0.007517039775848389,0.01000000536441803,0.0035651326179504395,0.026734590530395508,0.0,0.2,0.041240450998884626,False
17,0.46449393033981323,0.050000011920928955,0.03071434795856476,0.006847202777862549,0.006847202777862549,0.006847202777862549,0.01000000536441803,0.014364242553710938,0.04382282495498657,0.0,0.2,0.044189043999722344,False
18,0.5401071310043335,0.050000011920928955,0.05142536759376526,0.045638203620910645,0.02684718370437622,0.02684718370437622,0.009999990463256836,0.019999980926513672,0.03761112689971924,0.0,0.2,0.047069575999557856,False
19,0.17712506651878357,0.05000007152557373,0.03765182942152023,0.026535451412200928,0.006847202777862549,0.006847202777862549,0.009999990463256836,0.019999980926513672,0.051408737897872925,0.0,0.2,0.04636146499979077,False
20,0.33696430921554565,0.05000019073486328,0.05812343955039978,0.026740849018096924,0.013152778148651123,0.013152778148651123,0.009999990463256836,0.019999980926513672,0.03648100048303604,0.0,0.2,0.03825369799960754,False
21,0.3701639473438263,0.050000011920928955,0.04172621667385101,0.02257513999938965,0.02257513999938965,0.02257513999938965,0.009999999776482582,0.012260913848876953,0.05596897006034851,0.0,0.2,0.04050863100019342,False
22,0.4405348300933838,0.050000011920928955,0.06429165601730347,0.0032585859298706055,0.0032585859298706055,0.0032585859298706055,0.009999990463256836,0.019999980926513672,0.038219377398490906,0.0,0.2,0.04751347999990685,False
23,0.4299548864364624,0.050000011920928955,0.04501214623451233,0.0482100248336792,0.017424821853637695,0.017424821853637695,0.009999990463256836,0.019999980926513672,0.062148451805114746,0.0,0.2,0.046585227000832674,False
24,0.4800249934196472,0.050000011920928955,0.07158559560775757,0.1119202971458435,0.03742480278015137,0.03742480278015137,0.009999990463256836,0.019999980926513672,0.040937118232250214,0.0,0.2,0.04193420800038439,False
25,0.217537522315979,0.050000011920928955,0.04094715416431427,0.039925217628479004,0.017424821853637695,0.017424821853637695,0.009999990463256836,0.019999980926513672,0.07158339023590088,0.0,0.2,0.041031187000044156,False
26,0.34859782457351685,0.050000011920928955,0.08104044198989868,0.04677051305770874,0.008929848670959473,0.008929848670959473,0.009999999776482582,0.019999980926513672,0.040266409516334534,0.0,0.2,0.04496125099831261,False
27,0.3159636855125427,0.050000011920928955,0.0456954762339592,0.017132043838500977,0.017132043838500977,0.017132043838500977,0.009999990463256836,0.014556884765625,0.08058232069015503,0.0,0.2,0.047472044001551694,False
28,0.355216920375824,0.050000011920928955,0.09172219038009644,0.042526960372924805,0.0028679370880126953,0.0028679370880126953,0.009999990463256836,0.019999980926513672,0.04951834678649902,0.0,0.2,0.041987242999312,False
29,0.2693021893501282,0.050000011920928955,0.05622851848602295,0.12006276845932007,0.022867918014526367,0.022867918014526367,0.009999990463256836,0.019999980926513672,0.09170866012573242,0.0,0.2,0.04163929000060307,False
30,0.30559879541397095,0.050000011920928955,0.10373520851135254,0.2932969331741333,0.04286789894104004,0.04286789894104004,0.009999999776482582,0.019999980926513672,0.05387318134307861,0.0,0.2,0.044923761999598355,False
31,0.16223794221878052,0.050000011920928955,0.05392313003540039,0.09069216251373291,0.022867918014526367,0.022867918014526367,0.009999990463256836,0.019999980926513672,0.10375338792800903,0.0,0.2,0.044632335999267525,False
32,0.28643399477005005,0.050000011920928955,0.11766034364700317,0.08851808309555054,0.006880998611450195,0.006880998611450195,0.009999990463256836,0.019999980926513672,0.06766033172607422,0.0,0.2,0.04348326199942676,False
33,0.16877365112304688,0.050000011920928955,0.06984859704971313,0.0414387583732605,0.017132043838500977,0.017132043838500977,0.009999990463256836,0.019999980926513672,0.11984860897064209,0.0,0.2,0.04269604599903687,False
34,0.23862224817276,0.050000011920928955,0.13477420806884766,0.11979734897613525,0.0028679370880126953,0.0028679370880126953,0.009999990463256836,0.019999980926513672,0.0847741961479187,0.0,0.2,0.037608888998875045,False
35,0.09614378213882446,0.050000011920928955,0.08870315551757812,0.334536075592041,0.022867918014526367,0.022867918014526367,0.009999990463256836,0.019999980926513672,0.13870316743850708,0.0,0.2,0.04061050499876728,False
36,0.1748664379119873,0.050000011920928955,0.155173659324646,0.5454192161560059,0.04286789894104004,0.04286789894104004,0.009999990463256836,0.019999980926513672,0.10517364740371704,0.0,0.2,0.04341300399937609,False
37,0.06967061758041382,0.050000011920928955,0.10518306493759155,0.06321990489959717,0.022867918014526367,0.022867918014526367,0.009999999776482582,0.019999980926513672,0.14518308639526367,0.0,0.2,0.041571601999748964,False
38,0.14256060123443604,0.050000011920928955,0.16485297679901123,0.03192538022994995,0.03192538022994995,0.03192538022994995,0.009999990463256836,0.010170459747314453,0.11485296487808228,0.0,0.2,0.04858824000075401,False
